"centroid_id","out003_land_imperviousness_density_change_2024pr","out003_land_imperviousness_density_change_2024pr_sd","out003_land_imperviousness_density_change_2024pr_label","out009_tree_cover_density_2024pr","out009_tree_cover_density_2024pr_sd","out009_tree_cover_density_2024pr_label","out010_tree_cover_density_change_2024pr","out010_tree_cover_density_change_2024pr_sd","out010_tree_cover_density_change_2024pr_label","out011_grassland_2024pr","out011_grassland_2024pr_sd","out011_grassland_2024pr_label","out012_grassland_change_2024pr","out012_grassland_change_2024pr_sd","out012_grassland_change_2024pr_label","out017_land_use_and_cover_nature_2k_2024pr","out017_land_use_and_cover_nature_2k_2024pr_sd","out017_land_use_and_cover_nature_2k_2024pr_label","out040_plant_phenology_index_total_productivity_2024pr","out040_plant_phenology_index_total_productivity_2024pr_sd","out040_plant_phenology_index_total_productivity_2024pr_label","out057_temperature_avg_absolute_change_2024pr_rcp85","out057_temperature_avg_absolute_change_2024pr_rcp85_sd","out057_temperature_avg_absolute_change_2024pr_rcp85_label","out058_potential_evapotranspiration_relative_change_2024pr_rcp85","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_sd","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_label","out059_precipitation_cum_relative_change_2024pr_rcp85","out059_precipitation_cum_relative_change_2024pr_rcp85_sd","out059_precipitation_cum_relative_change_2024pr_rcp85_label","out065_number_species_cum_all_2024pr","out065_number_species_cum_all_2024pr_sd","out065_number_species_cum_all_2024pr_label","out147_land_use_and_cover_change_2024pr","out147_land_use_and_cover_change_2024pr_sd","out147_land_use_and_cover_change_2024pr_label","attention_level"
1,-0.0278971502838372,0.289746286286067,"H",-0.551758510917852,0.504978892452594,"L",0,0,"M",0.384362680683311,0.486604135157699,"M",-0.0808147174770039,0.489911227685902,"L",0.0400788436268068,0.19620862405702,"H",0.0757707347321064,0.728951045823841,"L",0.777749646409321,0.70592629671014,"H",0.9092508771859,0.473708937829791,"H",-0.676249546829171,0.521584781684789,"L",-2.07256706514587,0.636453140298448,"L",0.00525624178712221,0.0625869549778631,"H","low attention"
2,26.1050054865754,7.91522575232392,"H",-0.724113329356164,0.190405504198376,"L",0,0,"M",0.0410958904109589,0.199885812151697,"M",0,0.166666666666667,"M",0.164383561643836,0.3731881648615,"H",-0.895004813123288,0.715853409536084,"L",-0.159978355849315,0.665232278528741,"H",0.147320486876713,0.863798555093182,"M",-0.378400000931507,1.01100101623112,"L",-0.208178263,0.86109497581836,"L",0.0684931506849315,0.254338309436231,"H","medium attention"
3,-0.037001043999997,0,"H",1.30243376191122,0.345101862315741,"M",0.00259235255994815,0.0508573534363316,"H",0.0139338950097213,0.117235640078283,"M",0.0136098509397278,0.249101065363366,"H",0.0068049254698639,0.0822241403686433,"H",0.43768439911456,0.740639020468415,"M",-0.132259980163315,0.373232058330876,"H",0.611723325257571,0.22032147444729,"H",-1.06439467174557,0.236856873734147,"L",0.188973267618923,0.710663030218215,"M",0,0,"M","closer attention"
4,0.0891758018560607,1.09712427021781,"H",-0.52977815300744,0.494931201316944,"L",0.0265151515151515,0.160762963678666,"H",0.0568181818181818,0.231641156879084,"M",-0.00378787878787879,0.263662419599423,"L",0.772727272727273,0.419335017924555,"H",-1.12626822519158,0.470872927945215,"L",-0.0547899405631313,0.456980860188531,"H",0.578213923603535,0.133640043979061,"H",-0.975526758800492,0.276643348572984,"L",-0.559799961882578,0.833934865900861,"L",0.0126262626262626,0.111725560988416,"H","closer attention"
5,-0.0370010439999968,0,"H",1.28740640252051,0.35608857778581,"M",0.00121469784391133,0.0348366314332855,"H",0.00151837230488916,0.0389426165154309,"M",-0.00303674460977832,0.060299053615463,"L",0.00364409353173398,0.0602653883627553,"H",-0.0940641965917614,0.512303899216281,"L",-2.02270230599992,0,"L",-1.05661179900006,0,"L",0.351113610000002,0,"M",-0.407594857764046,0.385381937465706,"L",0,0,"M","low attention"
6,-0.0370010440000001,0,"L",-0.620600801965083,0.472026722124068,"L",0,0,"M",0.238154613466334,0.426220021411006,"M",0.0187032418952618,0.425057022496978,"H",0,0,"M",1.58024337720573,0.597344909632224,"H",-0.237101163000003,0,"M",-1.59068609699998,0,"L",2.090434727,0,"H",0.17673352490773,0.437736143814506,"M",0,0,"M","medium attention"
7,-0.0291573524524228,0.236557496138587,"H",-0.707881521738463,0.20771534531466,"L",0.000583771161704612,0.0241613567852596,"H",0.988324576765908,0.107451607058316,"M",-0.67600700525394,0.486490320280475,"L",0.0116754232340922,0.107451607058316,"H",-0.0972531273794513,0.655037016772917,"L",0.0578366954133116,0.365340334809691,"H",0.893493635541117,0.375305894331732,"H",-1.21100871452308,0.28365689116921,"L",-0.284235272880326,0.547518882272022,"L",0,0,"M","low attention"
8,0.0150677324325395,0.637525275087198,"H",-0.566010643220031,0.366228179095252,"L",0.0843253968253968,0.278013133061656,"H",0.441468253968254,0.496808710391715,"M",-0.170634920634921,0.512651066359872,"L",0.0823412698412698,0.275020401162867,"H",-0.229071382165411,0.746161319095032,"L",-0.901427189267849,0.303418040429263,"M",-1.04696922329761,0.190926035986298,"L",0.840144371069432,0.442307041604075,"H",-1.37896510350299,0.700682784074007,"L",0.00545634920634921,0.0519719395621533,"H","low attention"
9,-0.0370010439999977,0,"H",1.15083463421197,0.378915851913973,"M",0.0052710843373494,0.0724242699987382,"H",0.0572289156626506,0.232323241291465,"M",0.0384036144578313,0.260437724626784,"H",0.00301204819277108,0.0548097329200874,"H",0.00234169609922146,0.660118878317693,"L",-1.17999398734342,0.447264188964513,"L",-1.04094085591721,0.188177358195879,"L",0.667783266615199,0.228744017310225,"M",0.548156399697659,0.291279445258547,"H",0,0,"M","closer attention"
10,-0.0164333174301077,0.421634738963975,"H",-0.726739183519623,0.128961791623364,"L",0.0991636798088411,0.29906035975194,"H",0.685782556750299,0.464480999175306,"M",0.0537634408602151,0.25551487836082,"H",0.217443249701314,0.412753225963764,"H",-0.310933251344963,0.730079132207744,"L",-1.17790459109677,0.394488919009454,"L",-1.1178367555436,0.298292357075161,"L",0.725475479249709,0.206640304247086,"H",0.647796217679812,0.370441717385068,"H",0.002389486260454,0.0488531270575421,"H","closer attention"
