"centroid_id","out003_land_imperviousness_density_change_2024pr","out003_land_imperviousness_density_change_2024pr_sd","out003_land_imperviousness_density_change_2024pr_label","out009_tree_cover_density_2024pr","out009_tree_cover_density_2024pr_sd","out009_tree_cover_density_2024pr_label","out010_tree_cover_density_change_2024pr","out010_tree_cover_density_change_2024pr_sd","out010_tree_cover_density_change_2024pr_label","out011_grassland_2024pr","out011_grassland_2024pr_sd","out011_grassland_2024pr_label","out012_grassland_change_2024pr","out012_grassland_change_2024pr_sd","out012_grassland_change_2024pr_label","out017_land_use_and_cover_nature_2k_2024pr","out017_land_use_and_cover_nature_2k_2024pr_sd","out017_land_use_and_cover_nature_2k_2024pr_label","out040_plant_phenology_index_total_productivity_2024pr","out040_plant_phenology_index_total_productivity_2024pr_sd","out040_plant_phenology_index_total_productivity_2024pr_label","out057_temperature_avg_absolute_change_2024pr_rcp85","out057_temperature_avg_absolute_change_2024pr_rcp85_sd","out057_temperature_avg_absolute_change_2024pr_rcp85_label","out058_potential_evapotranspiration_relative_change_2024pr_rcp85","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_sd","out058_potential_evapotranspiration_relative_change_2024pr_rcp85_label","out059_precipitation_cum_relative_change_2024pr_rcp85","out059_precipitation_cum_relative_change_2024pr_rcp85_sd","out059_precipitation_cum_relative_change_2024pr_rcp85_label","out065_number_species_cum_all_2024pr","out065_number_species_cum_all_2024pr_sd","out065_number_species_cum_all_2024pr_label","out147_land_use_and_cover_change_2024pr","out147_land_use_and_cover_change_2024pr_sd","out147_land_use_and_cover_change_2024pr_label","attention_level"
1,-0.028118911797436,0.286196720561658,"H",-0.580826903164086,0.459247532991056,"L",0,0,"M",0.384615384615385,0.486660261268437,"M",-0.0942307692307692,0.497039391902371,"L",0.0673076923076923,0.250634464067452,"H",0.0191219693783756,0.730596000406181,"L",0.749183971576274,0.713924758550156,"H",0.901606659033293,0.470686502191326,"H",-0.690095528061541,0.522806348554323,"L",-2.06420198152693,0.631028735182592,"L",0.00641025641025641,0.0713468766170819,"H","low attention"
2,-0.0294732680677292,0.168662503432777,"H",-0.715373005509905,0.183732262299012,"L",0.00199203187250996,0.0446321842677452,"H",0.207171314741036,0.405683630576376,"M",0.0856573705179283,0.449698797106708,"H",0.049800796812749,0.217750154763581,"H",0.491469414381008,0.711086802431487,"M",-0.67045371307769,0.370296262243008,"M",-1.22372801865338,0.300270532363826,"L",1.25337561985856,0.68557847225276,"H",-1.62604393894224,0.859550015249969,"L",0.00199203187250996,0.031528207695554,"H","high attention"
3,-0.0370010440000001,0,"L",1.38438942632253,0.338066004300671,"H",0,0,"M",0.0332764505119454,0.179434110065099,"M",0.0426621160409556,0.360124864717549,"H",0.00597269624573379,0.0770849738319637,"H",1.29578019924147,0.696397782170828,"H",0.0451404281040954,0.465962346789889,"H",0.702578787796914,0.295112710382303,"H",-1.02827418474146,0.332401459693839,"L",-0.308859395911263,0.856110953870502,"L",0,0,"M","high attention"
4,0.0441762612099999,0.810801583429851,"H",-0.558558064477851,0.335115681483908,"L",0.136666666666667,0.343781711746142,"H",0.665,0.472384283734333,"M",-0.411666666666667,0.499278834399866,"L",0.106666666666667,0.308946546892744,"H",-0.620517196483334,0.454698259589708,"L",-1.06139850681499,0.342322809304582,"L",-0.987237808256658,0.0351111533050078,"L",0.663542972435002,0.124544027416759,"M",-1.05258867575667,0.388021903097569,"L",0.0075,0.0608269391597663,"H","low attention"
5,-0.0370010439999986,0,"H",1.19813518023028,0.389781779193299,"M",0.0027359781121751,0.0522468878134315,"H",0.00136798905608755,0.0369694588936651,"M",0,0.0906183139995266,"M",0.000911992704058368,0.030192327651121,"H",-0.47423819796942,0.360806502190414,"L",-0.940595972982261,0.0300792534836761,"M",-0.978485242891517,0.0261758074293667,"L",0.702743904986751,0.0593333502963039,"H",-1.00601765029093,0.368945322959114,"L",0,0,"M","medium attention"
6,-0.0370010440000001,0,"L",-0.522054381931315,0.48867397932719,"L",0.0137362637362637,0.11647409026803,"H",0.967032967032967,0.178673051785589,"M",-0.479395604395604,0.549716613332519,"L",0.0164835164835165,0.127413145982608,"H",0.66534850463086,0.482326779039726,"M",-1.11310933919505,0.341716174261315,"L",-1.09958571885851,0.285741424766735,"L",0.735278116239018,0.181574548865956,"H",0.659573374314564,0.387835725488878,"H",0.000686813186813187,0.0185312329165275,"H","low attention"
7,0.0240116469204804,0.759970588066841,"H",-0.672875037077739,0.28760485566736,"L",0.0131578947368421,0.11398331961301,"H",0.640160183066362,0.48009059626617,"M",-0.431350114416476,0.522401445820447,"L",0.314645308924485,0.464507346592155,"H",-0.73920748243978,0.561868340304876,"L",-0.0102919068661339,0.403292176470684,"H",0.749318605756259,0.332878036946389,"H",-1.11522147757325,0.291270527607028,"L",-0.444788650439931,0.63266951059007,"L",0.005720823798627,0.0754410491432169,"H","high attention"
8,-0.0370010440000001,0,"L",-0.642700936926426,0.423483920843864,"L",0,0,"M",0.232970027247956,0.423011559481671,"M",0.0286103542234332,0.398495092945164,"H",0,0,"M",1.61690271343869,0.582467713408031,"H",-0.237101163000003,0,"M",-1.59068609699999,0,"L",2.090434727,0,"H",0.257723012440054,0.236910880556214,"M",0,0,"M","medium attention"
9,-0.0370010440000001,0,"L",1.48410814106792,0.246744838172183,"H",0,0,"M",0.00114155251141553,0.0337772196640528,"M",0.00228310502283105,0.0955636965134993,"H",0,0,"M",0.636146080546232,0.38992898069842,"M",-0.958297684097636,0.176462176942854,"L",-0.985781874179254,0.0644260184749972,"L",0.707513869914934,0.153729889949439,"H",-0.947762710385276,0.376887703731812,"L",0,0,"M","medium attention"
10,-0.0370010440000001,0,"L",-0.658344478715317,0.334749229548455,"L",0,0,"M",0.893738140417457,0.308465279468533,"M",0.0607210626185958,0.239044859513241,"H",0.0113851992409867,0.106193102005737,"H",-0.0485502569458593,0.572930025510151,"L",-0.237101163000002,0,"M",-1.590686097,0,"L",2.090434727,0,"H",0.247882275518025,0.281004214030824,"M",0.00569259962049336,0.0753057418462643,"H","medium attention"
11,-0.0370010440000001,0,"L",-0.678717588029069,0.299775409482641,"L",0,0,"M",0.973837209302326,0.1598517432996,"M",-1,0,"L",0,0,"M",0.100108670319768,0.615564680397988,"M",-0.237101163,0,"M",-1.590686097,0,"L",2.090434727,0,"H",0.215205891811047,0.302205157418884,"M",0,0,"M","medium attention"
12,-0.00390014685097202,0.516789980195419,"H",-0.699540185903809,0.20715600177878,"L",0.10475161987041,0.306398597259809,"H",0.711663066954644,0.453233474679012,"M",-0.375809935205184,0.555287257093456,"L",0.199784017278618,0.400053992036421,"H",-0.671726170807776,0.433578230415564,"L",-1.2134696969352,0.41239946088343,"L",-1.13706632980884,0.312864163344046,"L",0.727686470455733,0.221010977690146,"H",0.639899110111235,0.356172997429324,"H",0.00215982721382289,0.0464488133915564,"H","high attention"
13,-0.0206499944055843,0.426459092916368,"H",-0.732642674083049,0.128158475629028,"L",0,0,"M",0.592211609110948,0.491604099334797,"M",-0.0661278471711976,0.606368465535621,"L",0.0110213078618663,0.104440668430031,"H",1.84684494890816,0.848683676548648,"H",0.527270729974278,0.465598953324106,"H",0.789728821499641,0.312282774412,"H",-0.765259262342371,0.479696480876921,"L",-0.227922928706833,0.717093555770301,"L",0,0,"M","high attention"
14,-0.0320344679945787,0.160336135932528,"H",-0.735331321865926,0.106289387429677,"L",0.00098570724494825,0.0313882334006057,"H",0.922129127649088,0.268034339928571,"M",-0.189748644652538,0.518849229148654,"L",0.0532281912272055,0.22454353802145,"H",0.0966761838852964,0.585493134226163,"M",0.639455385664845,0.369724583047561,"H",0.72859290759289,0.236497674012601,"H",-0.625962805458846,0.406796832330004,"L",0.329434946293248,0.57323358834348,"M",0.00739280433711188,0.0856841245429397,"H","high attention"
15,-0.0370010440000001,0,"L",-0.332397443478431,0.823063149772469,"L",0,0,"M",0.170588235294118,0.376518075994908,"M",0.0549019607843137,0.439822131172181,"H",0,0,"M",2.85271632028627,0.882118760682565,"H",-0.924455968678428,0.255956299375306,"M",-1.00590109710784,0.211561817130111,"L",0.756688816047061,0.343477995110517,"H",0.663740218443139,0.472854005700748,"H",0,0,"M","medium attention"
